ARS,자치구,정류장이름,가격_원per면,경도,위도,승차_일평균,하차_일평균,승하차_일평균,경유노선수,공시지가_원per㎡,거리_시청_km,거리_강남_km,거리_여의도_km,거리_도심최근접_km,POI_total_100m,POI_total_300m,POI_음식_300m,POI_소매_300m,POI_과학·기술_300m,POI_수리·개인_300m,POI_교육_300m,POI_부동산_300m,POI_시설관리·임대_300m,POI_예술·스포츠_300m,POI_보건의료_300m,POI_숙박_300m,POI_total_500m,최근접지하철_거리_m,최근접역_승하차_일평균,교차로수_300m,가로망연장_300m,간선도로연장_300m,교차로수_500m,가로망연장_500m,간선도로연장_500m,간선도로거리_m
15212,양천구,신정네거리.신정119안전센터 [15212],578200.0,126.8507300915,37.5220233018,367.3,1277.6,1645.0,7.0,8243000.0,12.245,15.83,6.506,6.506,38.0,511.0,133.0,92.0,43.0,60.0,25.0,38.0,39.0,30.0,44.0,7.0,1221.0,289.0,21079.0,30.0,4589.0,1637.0,88.0,13700.0,3030.0,22.0
15213,양천구,동방아파트 [15213],578200.0,126.8463249183,37.5218824877,360.8,844.1,1204.9,7.0,1323000.0,12.608,16.21,6.894,6.894,23.0,279.0,69.0,55.0,13.0,45.0,35.0,21.0,14.0,12.0,12.0,3.0,877.0,614.8,21079.0,38.0,5619.0,1146.0,102.0,15121.0,2432.0,14.2
15214,양천구,동방아파트.신월종합사회복지관 [15214],578200.0,126.8462896508,37.5214264859,928.3,586.0,1514.3,7.0,4976000.0,12.631,16.205,6.898,6.898,22.0,288.0,71.0,55.0,11.0,52.0,34.0,25.0,12.0,12.0,12.0,4.0,902.0,603.3,21079.0,35.0,5285.0,1130.0,94.0,14266.0,2227.0,17.9
15216,양천구,신곡시장.금빛새마을금고 [15216],578200.0,126.8438198804,37.5192849388,1088.4,291.8,1380.2,7.0,6268000.0,12.926,16.384,7.121,7.121,85.0,433.0,145.0,96.0,19.0,49.0,28.0,28.0,9.0,27.0,29.0,3.0,955.0,807.2,21079.0,31.0,5019.0,598.0,79.0,13672.0,2679.0,21.9
15217,양천구,신한은행신월동지점 [15217],662970.0,126.8416025861,37.5180186395,734.6,1154.5,1889.1,7.0,1831000.0,13.162,16.558,7.324,7.324,141.0,484.0,147.0,116.0,20.0,56.0,30.0,36.0,11.0,37.0,30.0,1.0,911.0,1023.7,21079.0,32.0,5543.0,1578.0,101.0,16269.0,4112.0,10.9
15218,양천구,신한은행신월동지점 [15218],662970.0,126.8418635354,37.5178279621,1575.7,564.1,2139.8,7.0,6475000.0,13.149,16.533,7.302,7.302,134.0,474.0,145.0,112.0,19.0,52.0,33.0,36.0,11.0,36.0,30.0,0.0,898.0,1006.2,21079.0,32.0,5316.0,1542.0,96.0,15778.0,4038.0,20.4
15221,양천구,강서초등학교 [15221],578200.0,126.8419309679,37.5218776213,1823.4,261.5,2084.9,7.0,4316000.0,12.965,16.593,7.282,7.282,99.0,468.0,154.0,89.0,20.0,67.0,60.0,19.0,11.0,27.0,18.0,3.0,1056.0,989.4,21079.0,37.0,6261.0,639.0,118.0,18261.0,3073.0,13.8
15223,양천구,신월동남부주유소 [15223],578200.0,126.8385850656,37.5193930878,372.6,517.8,890.4,5.0,1486000.0,13.344,16.843,7.582,7.582,22.0,273.0,83.0,61.0,19.0,45.0,18.0,17.0,6.0,17.0,6.0,1.0,945.0,1266.7,21079.0,43.0,6296.0,1970.0,117.0,17187.0,4050.0,9.5
15224,양천구,신월2동우체국 [15224],662970.0,126.851248,37.523082,394.8,441.7,836.5,5.0,1825000.0,12.156,15.805,6.461,6.461,91.0,495.0,129.0,81.0,45.0,65.0,28.0,35.0,41.0,24.0,38.0,9.0,1197.0,363.5,21079.0,39.0,5522.0,1792.0,113.0,15986.0,3270.0,17.5
15225,양천구,신트리공원앞교차로 [15225],662970.0,126.855949147,37.5131152074,396.9,325.1,721.9,6.0,6123000.0,12.271,15.236,6.124,6.124,46.0,127.0,17.0,19.0,6.0,16.0,32.0,19.0,1.0,9.0,8.0,0.0,270.0,814.6,21079.0,13.0,2703.0,1232.0,21.0,5713.0,2361.0,22.5
15226,양천구,신트리아파트 [15226],578200.0,126.854140221,37.5129013233,1222.5,249.4,1471.9,10.0,5703000.0,12.423,15.392,6.286,6.286,15.0,91.0,12.0,12.0,5.0,12.0,20.0,11.0,2.0,9.0,8.0,0.0,254.0,800.2,21079.0,11.0,2546.0,1082.0,21.0,5447.0,2135.0,16.2
15227,양천구,정랑고개.양천벤처타운 [15227],578200.0,126.8503821304,37.5115773183,728.8,213.1,941.9,10.0,5703000.0,12.784,15.706,6.637,6.637,11.0,34.0,4.0,8.0,3.0,4.0,9.0,3.0,2.0,0.0,1.0,0.0,123.0,965.4,21079.0,2.0,1145.0,586.0,18.0,4343.0,997.0,17.3
15228,양천구,신정학마을아파트 [15228],205800.0,126.8439634217,37.5074208503,606.9,1008.5,1615.3,9.0,874300.0,13.503,16.234,7.283,7.283,5.0,106.0,19.0,28.0,9.0,27.0,9.0,6.0,2.0,4.0,2.0,0.0,228.0,1430.8,23163.0,34.0,5588.0,2847.0,120.0,15306.0,4581.0,8.8
