자치구,정류장이름,ARS,가격_원,가격기준,가격_양면,가격_4면,상품유형,지원포맷,운영시간,야간조명,혼잡도,상세URL,수집일시,면수,가격_원per면
강서구,가양3동도시개발9단지아파트 [16243],16243,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1798,2026-05-31,2.0,578200.0
강서구,가양도시개발9단지.세현고등학교 [16244],16244,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1799,2026-05-31,2.0,578200.0
강서구,염창동아3차아파트.나이아가라호텔 [16245],16245,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1800,2026-05-31,2.0,578200.0
강서구,염창동새마을금고 [16247],16247,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1804,2026-05-31,2.0,578200.0
강서구,염창동한마음.관음삼성아파트 [16249],16249,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1806,2026-05-31,2.0,578200.0
강서구,염창동관음삼성아파트 [16250],16250,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1808,2026-05-31,2.0,578200.0
강서구,태영.삼성한사랑아파트 [16251],16251,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1809,2026-05-31,2.0,578200.0
강서구,금호.한솔아파트 [16252],16252,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1812,2026-05-31,2.0,578200.0
강서구,블루나인비지니스센터.이마트 [16253],16253,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1814,2026-05-31,2.0,578200.0
강서구,이마트.강서소방서 [16255],16255,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1816,2026-05-31,2.0,578200.0
강서구,강서소방서.이마트.증미역 [16256],16256,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,매우혼잡,https://dukplace.com/ko/product/ad/1818,2026-05-31,2.0,578200.0
강서구,가양역.현대아파트 [16258],16258,617400,단면(1면),,,인쇄,"ai,psd",24시간 노출,O,보통,https://dukplace.com/ko/product/ad/1819,2026-05-31,1.0,617400.0
강서구,가양역.우성아파트 [16259],16259,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,매우혼잡,https://dukplace.com/ko/product/ad/1821,2026-05-31,2.0,578200.0
강서구,가양역.우성아파트 [16260],16260,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1825,2026-05-31,2.0,578200.0
강서구,SBS공개홀 [16261],16261,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,매우혼잡,https://dukplace.com/ko/product/ad/1827,2026-05-31,2.0,578200.0
강서구,등촌동대림아파트 [16265],16265,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1828,2026-05-31,2.0,578200.0
강서구,강서한강자이아파트 [16266],16266,646800,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,보통,https://dukplace.com/ko/product/ad/2879,2026-05-31,2.0,323400.0
강서구,가양동CJ주식회사 [16267],16267,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1830,2026-05-31,2.0,578200.0
강서구,양천초등학교.겸재정선미술관 [16269],16269,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1833,2026-05-31,2.0,578200.0
강서구,양천향교역8번출구. 양천초교 [16270],16270,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1834,2026-05-31,2.0,578200.0
강서구,겸재정선미술관 [16271],16271,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1836,2026-05-31,2.0,578200.0
강서구,마곡실내배드민턴장 [16273],16273,411600,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1358,2026-05-31,2.0,205800.0
강서구,마곡실내배드민턴장 [16274],16274,411600,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,매우혼잡,https://dukplace.com/ko/product/ad/1359,2026-05-31,2.0,205800.0
강서구,서남물재생센터 [16275],16275,411600,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1375,2026-05-31,2.0,205800.0
