ARS,자치구,정류장이름,공시지가_원per㎡,PNU,지번,공시지가_주소,공시연도
09275,강북구,삼각산동삼각산아이원아파트후문 [09275],1400000.0,1130510100113570013,1357-13 도,서울특별시 강북구 미아동 1357-13,2025
09286,강북구,우이동도선사입구 [09286],3584000.0,1130510400100050021,5-21 도,서울특별시 강북구 우이동 5-21,2025
09295,강북구,삼각산동삼각산아이원아파트정문 [09295],1400000.0,1130510100113570013,1357-13 도,서울특별시 강북구 미아동 1357-13,2025
09302,강북구,삼각산고.래미안트리베라 [09302],1400000.0,1130510100108130008,813-8 도,서울특별시 강북구 미아동 813-8,2025
09303,성북구,삼각산고.래미안트리베라 [09303],1400000.0,1130510100108130008,813-8 도,서울특별시 강북구 미아동 813-8,2025
10107,도봉구,서울북부지방법원.검찰청.도봉역성황당 [10107],1276000.0,1132010800106370037,637-37 도,서울특별시 도봉구 도봉동 637-37,2025
10109,도봉구,도봉견인차량보관소 [10109],1276000.0,1132010800106370111,637-111 도,서울특별시 도봉구 도봉동 637-111,2025
10116,도봉구,방학사거리 [10116],796900.0,1132010600106780000,678 공,서울특별시 도봉구 방학동 678,2025
10117,도봉구,도봉보건소 [10117],1872000.0,1132010700107230009,723-9도,서울특별시 도봉구 창동 723-9,2025
10120,강북구,함석헌기념관.정의여중고 [10120],2176000.0,1132010500100830003,83-3도,서울특별시 도봉구 쌍문동 83-3,2025
10121,도봉구,도봉구민회관 [10121],6297000.0,1132010700103030000,303 대,서울특별시 도봉구 창동 303,2025
10122,도봉구,도봉구민회관 [10122],1964000.0,1132010500106780000,678도,서울특별시 도봉구 쌍문동 678,2025
10124,강북구,쌍문역.쌍문시장 [10124],1962000.0,1132010500100830006,83-6도,서울특별시 도봉구 쌍문동 83-6,2025
10126,강북구,쌍문역 [10126],1944000.0,1132010700107030006,703-6도,서울특별시 도봉구 창동 703-6,2025
10133,도봉구,도봉구청 [10133],1488000.0,1132010600107200004,720-4 도,서울특별시 도봉구 방학동 720-4,2025
10139,노원구,자운고등학교앞 [10139],2749000.0,1132010700100010000,1 학,서울특별시 도봉구 창동 1,2025
10141,노원구,창동동아청솔아파트 [10141],1401000.0,1132010700100010013,1-13 도,서울특별시 도봉구 창동 1-13,2025
10144,노원구,창동농협물류센터 [10144],3495000.0,1132010700100010012,1-12 도,서울특별시 도봉구 창동 1-12,2025
10149,노원구,창동주공19단지 [10149],3723000.0,1132010700100330000,33 대,서울특별시 도봉구 창동 33,2025
10150,노원구,창동주공19단지 [10150],3461000.0,1132010700100270000,27 대,서울특별시 도봉구 창동 27,2025
10151,노원구,창동주공18단지 [10151],3580000.0,1132010700100310000,31 대,서울특별시 도봉구 창동 31,2025
10152,노원구,창동주공18단지 [10152],1181000.0,1132010700100340000,34 도,서울특별시 도봉구 창동 34,2025
10156,도봉구,도봉역 [10156],509200.0,1132010800106370053,637-53 도,서울특별시 도봉구 도봉동 637-53,2025
10158,도봉구,노원교 [10158],2300000.0,1132010800106280000,628 대,서울특별시 도봉구 도봉동 628,2025
10159,도봉구,노원교 [10159],442200.0,1132010800106370055,637-55 도,서울특별시 도봉구 도봉동 637-55,2025
10178,도봉구,쌍문동청구아파트 [10178],3150000.0,1132010500101950000,195 대,서울특별시 도봉구 쌍문동 195,2025
10184,강북구,연산군.정의공주묘 [10184],468900.0,1132010600105810004,581-4구,서울특별시 도봉구 방학동 581-4,2025
10186,도봉구,방학동신동아타워 [10186],3144000.0,1132010600102720000,272 대,서울특별시 도봉구 방학동 272,2025
10189,도봉구,방학동신동아아파트 [10189],3144000.0,1132010600107310000,731 대,서울특별시 도봉구 방학동 731,2025
10190,도봉구,방학동신동아아파트 [10190],4839000.0,1132010600106680007,668-7 대,서울특별시 도봉구 방학동 668-7,2025
10191,도봉구,국민은행방학지점 [10191],1920000.0,1132010600107260127,726-127 도,서울특별시 도봉구 방학동 726-127,2025
10193,도봉구,신한은행방학동지점 [10193],5444000.0,1132010600106720025,672-25 대,서울특별시 도봉구 방학동 672-25,2025
10194,도봉구,신한은행방학동지점 [10194],5314000.0,1132010600106910007,691-7 대,서울특별시 도봉구 방학동 691-7,2025
10195,도봉구,방학사거리 [10195],1442000.0,1132010600107260145,726-145 도,서울특별시 도봉구 방학동 726-145,2025
