ARS,자치구,정류장이름,승차_일평균,하차_일평균,승하차_일평균,경유노선수
19220,영등포구,당산초등학교앞 [19220],367.1,366.2,733.3,4.0
19221,영등포구,선유고등학교 [19221],120.4,474.4,594.9,1.0
19223,영등포구,선유중학교 [19223],195.2,366.3,561.6,2.0
19226,동작구,신길새마을금고 [19226],1753.3,1578.1,3331.4,12.0
19228,동작구,대신시장 [19228],2300.4,1280.2,3580.6,9.0
19231,영등포구,영등포농협.신길2동새마을금고 [19231],867.4,716.1,1583.5,8.0
19233,구로구,신길한화꿈에그린아파트 [19233],520.5,1041.9,1562.4,9.0
19234,구로구,성락교회 [19234],700.0,741.9,1441.8,6.0
19238,영등포구,우신초등학교 [19238],917.3,755.0,1672.2,9.0
19241,구로구,신풍역.백악관웨딩문화원앞 [19241],588.1,1358.9,1947.0,9.0
19247,구로구,태양의집.KT대방지사 [19247],995.6,720.3,1715.9,5.0
19255,동작구,공군회관 [19255],2023.0,3183.2,5206.2,12.0
19258,구로구,태양의집 [19258],786.4,977.5,1763.9,5.0
19261,구로구,흰돌교회 [19261],224.1,292.8,516.9,4.0
19269,구로구,대림동우성아파트 [19269],615.1,486.3,1101.4,5.0
19273,구로구,YDP미래평생학습관 [19273],372.4,99.0,471.4,4.0
19279,영등포구,신길역 [19279],1576.5,791.6,2368.1,12.0
19280,영등포구,국회의사당 [19280],817.8,1578.2,2396.0,5.0
19281,동작구,산업은행본점 [19281],167.6,266.0,433.6,2.0
19282,동작구,현대백화점 [19282],2041.7,886.9,2928.6,5.0
19283,동작구,✈️ 유진투자증권.파이낸셜뉴스신문 [19283],866.6,1348.4,2215.0,7.0
19284,동작구,LG트윈타워 [19284],2498.7,1963.6,4462.3,8.0
19290,동작구,여의도지하차도입구 [19290],879.3,517.8,1397.0,6.0
19301,동작구,신길보라매SK뷰아파트 [19301],326.3,143.8,470.1,2.0
19304,구로구,래미안에스티움 [19304],121.8,97.1,218.9,3.0
19305,영등포구,문래자이아파트 [19305],367.1,464.6,831.7,5.0
19307,동작구,대방역 [19307],1431.6,1084.2,2515.8,2.0
19312,구로구,대림코오롱아파트 [19312],196.0,209.6,405.5,4.0
19318,영등포구,문래역 [19318],646.1,325.1,971.3,5.0
19321,구로구,신동아아파트 [19321],55.3,86.9,142.3,1.0
19357,구로구,대림동코오롱아파트 [19357],101.4,199.3,300.7,4.0
19365,영등포구,우신사거리 [19365],48.5,144.5,193.0,1.0
19402,구로구,현대2차아파트후문 [19402],324.7,65.1,389.8,4.0
19427,영등포구,두산위브진주아파트 [19427],209.1,0.4,209.5,2.0
19458,구로구,대림3동주민센터 [19458],171.7,110.2,281.9,1.0
19619,영등포구,문래힐스테이트 [19619],,,,
19827,구로구,대영고등학교.신길센트럴아이파크 [19827],254.7,105.3,360.0,3.0
19996,영등포구,당산역 [19996],,,,
20106,동작구,서울지방병무청앞 [20106],1463.7,882.0,2345.6,11.0
20107,동작구,공군회관 [20107],2549.4,1627.9,4177.3,13.0
20117,동작구,사육신공원 [20117],96.1,196.3,292.4,3.0
20119,동작구,사육신공원 [20119],277.7,335.4,613.0,10.0
20121,동작구,노들역 [20121],1068.3,685.9,1754.2,10.0
20123,동작구,흑석동효사정앞 [20123],403.6,856.2,1259.8,11.0
20127,동작구,흑석역.명수대현대아파트 [20127],654.7,503.1,1157.8,7.0
20129,동작구,비계 [20129],799.6,281.0,1080.6,9.0
20130,동작구,비계 [20130],378.5,612.2,990.7,9.0
20132,동작구,흑석동한강현대아파트 [20132],36.8,131.1,167.9,9.0
20133,관악구,동작역.국립현충원 [20133],813.3,383.7,1197.0,9.0
20142,관악구,예술인마을 [20142],1315.7,1933.8,3249.5,11.0
20143,동작구,서울공업고등학교 [20143],637.7,1065.7,1703.3,7.0
20149,동작구,상도초등학교입구 [20149],1740.5,1229.0,2969.5,8.0
20156,동작구,상도터널노량진동 [20156],409.3,471.8,881.0,4.0
20157,동작구,상도터널노량진동 [20157],890.8,1193.5,2084.4,5.0
20158,동작구,상도터널상도동 [20158],1304.7,2773.8,4078.5,9.0
20160,동작구,상도시장 [20160],1471.0,1656.2,3127.1,12.0
