ARS,자치구,정류장이름,최근접지하철_거리_m,최근접역명,최근접역호선,최근접역_승하차_일평균
24353,송파구,가락2동프라자아파트 [24353],553.5,개롱,5호선,13434.0
24355,송파구,극동아파트 [24355],424.6,개롱,5호선,13434.0
24357,송파구,가락동극동아파트 [24357],331.9,개롱,5호선,13434.0
24358,송파구,가락동쌍용아파트앞 [24358],517.5,경찰병원,3호선,15094.0
24360,송파구,가동초등학교 [24360],405.5,경찰병원,3호선,15094.0
24361,송파구,가락2동주민센터 [24361],365.9,오금,5호선,20383.0
24362,송파구,가락2동주민센터 [24362],368.6,경찰병원,3호선,15094.0
24364,송파구,문정로데오거리입구 [24364],310.4,가락시장,3호선,36430.0
24366,송파구,건너말공원입구 [24366],356.6,경찰병원,3호선,15094.0
24369,송파구,송파경찰서.오금역 [24369],116.0,오금,5호선,20383.0
24370,송파구,가락동쌍용아파트 [24370],517.6,오금,5호선,20383.0
24371,송파구,가락대림아파트 [24371],512.2,송파,8호선,20292.0
24372,송파구,신가초등학교 [24372],498.4,경찰병원,3호선,15094.0
24376,송파구,포레나송파 [24376],1031.9,거여,5호선,20540.0
24377,송파구,경찰병원.KT가락지사 [24377],202.7,경찰병원,3호선,15094.0
24378,송파구,경찰병원.KT가락지사 [24378],194.6,경찰병원,3호선,15094.0
24379,송파구,경찰병원.서울동부고용노동지청 [24379],238.1,경찰병원,3호선,15094.0
24380,송파구,가락시장역4번출구.제일오피스텔 [24380],122.4,가락시장,8호선,36430.0
24381,강동구,위례호반써밋 [24381],1085.5,거여,5호선,20540.0
24383,강동구,북위례입구 [24383],744.6,마천,5호선,14167.0
24384,강동구,위례포레자이 [24384],781.7,마천,5호선,14167.0
24386,송파구,가락시장.가락몰 [24386],172.0,가락시장,3호선,36430.0
24387,송파구,가락시장남문 [24387],512.3,가락시장,3호선,36430.0
24388,송파구,가락시장.헬리오시티 [24388],820.0,수서,3호선,75420.0
24389,송파구,가락시장.헬리오시티 [24389],722.2,송파,8호선,20292.0
24390,송파구,가락1동주민센터 [24390],429.2,송파,8호선,20292.0
24391,송파구,서울방이동고분군 [24391],425.1,송파나루,9호선(연장),12839.0
24392,송파구,문정동대우아파트 [24392],520.1,문정,8호선,45583.0
24394,강동구,풍납토성서성벽 [24394],940.3,강동구청,8호선,21953.0
24395,송파구,가락시장동문 [24395],326.6,가락시장,8호선,36430.0
24396,송파구,몽촌토성역.한성백제역 [24396],117.1,몽촌토성(평화의문),8호선,18003.0
24397,강동구,풍납동강변현대아파트 [24397],897.2,강동구청,8호선,21953.0
24403,강동구,거여역7번출구 [24403],81.8,거여,5호선,20540.0
24404,강동구,거여역6번출구 [24404],127.0,거여,5호선,20540.0
24408,강동구,오륜사거리 [24408],897.5,개롱,5호선,13434.0
24409,강동구,오륜사거리 [24409],790.0,개롱,5호선,13434.0
24431,강동구,갑을.미성아파트 [24431],895.5,강동구청,8호선,21953.0
24432,송파구,송파배드민턴체육관 [24432],514.9,개롱,5호선,13434.0
24434,강동구,풍납중학교앞 [24434],771.9,강동구청,8호선,21953.0
24435,송파구,복정역3번출구 [24435],284.8,복정,8호선,19185.0
24442,송파구,장지역2번출구 [24442],63.8,장지,8호선,34014.0
24444,송파구,가락시장역5번출구 [24444],103.1,가락시장,8호선,36430.0
24445,강동구,올림픽대교남단교차로 [24445],659.9,강동구청,8호선,21953.0
24448,송파구,아이코리아 [24448],683.3,장지,8호선,34014.0
24452,송파구,송파파인타운8단지.9단지 [24452],132.1,장지,8호선,34014.0
24453,송파구,송파구립산모건강증진센터 [24453],126.7,장지,8호선,34014.0
