ARS,자치구,정류장이름,교차로수_300m,가로망연장_300m,간선도로연장_300m,교차로수_500m,가로망연장_500m,간선도로연장_500m,간선도로거리_m
04176,성동구,뚝도아리수정수센터수도박물관 [04176],33,4646.0,2811.0,83,12573.0,6953.0,9.4
04177,성동구,서울숲역2번출구 [04177],36,4879.0,2644.0,96,12509.0,4478.0,12.5
04178,성동구,서울숲역3번출구 [04178],35,4705.0,2658.0,97,12428.0,4475.0,5.4
04183,강남구,경일초등학교입구 [04183],53,5833.0,1992.0,113,14835.0,5418.0,10.8
04187,성동구,상원 [04187],42,7883.0,5076.0,113,17777.0,10312.0,7.3
04188,성동구,상원 [04188],41,7718.0,5060.0,105,17309.0,10230.0,13.1
04191,광진구,성수119안전센터 [04191],74,9509.0,3518.0,222,26852.0,8455.0,15.4
04207,광진구,화양사거리 [04207],102,9300.0,2450.0,203,22610.0,5183.0,13.8
04210,성동구,성수2가3동주민센터 [04210],25,5313.0,2304.0,59,11952.0,4147.0,10.6
04211,성동구,제인병원 [04211],16,4536.0,2380.0,51,11480.0,4015.0,14.6
04212,광진구,성동세무서앞 [04212],44,5976.0,2147.0,120,16520.0,5063.0,10.6
04216,광진구,군자교남단 [04216],87,10120.0,4756.0,207,25269.0,10014.0,12.7
04217,동대문구,신답역 [04217],46,7614.0,4892.0,142,18215.0,8685.0,13.7
04221,성동구,서울교통공사.서울새활용플라자 [04221],71,6829.0,1279.0,158,15971.0,2692.0,92.8
04223,성동구,뚝섬서울숲 [04223],27,6220.0,6220.0,48,12311.0,10918.0,7.1
04236,성동구,뚝섬역8번출구 [04236],70,7805.0,2276.0,151,18103.0,5625.0,8.6
04237,성동구,뚝섬역2번출구 [04237],76,8338.0,2157.0,159,19058.0,5025.0,13.2
04238,성동구,뚝섬역5번출구 [04238],65,7641.0,1206.0,171,19036.0,3282.0,8.8
04241,성동구,SK테크노빌딩앞 [04241],57,7106.0,1194.0,160,18598.0,2543.0,40.1
04243,성동구,경동초등학교입구 [04243],63,6314.0,293.0,133,16906.0,3317.0,282.5
04246,강남구,경일초등학교앞 [04246],50,5395.0,603.0,128,16260.0,4139.0,32.0
04254,성동구,리버하우스 [04254],39,7079.0,3015.0,86,15472.0,6170.0,17.0
04255,성동구,리버하우스 [04255],33,6829.0,3174.0,84,15291.0,6446.0,4.7
04261,성동구,청계9가.텐즈힐2단지 정문앞 [04261],57,6265.0,2142.0,158,18070.0,6436.0,9.6
04266,성동구,뚝섬서울숲남문 [04266],29,3892.0,2737.0,71,11713.0,7385.0,10.2
04268,동대문구,용답휴식공원 [04268],48,7515.0,4901.0,146,18679.0,8556.0,14.8
04271,성동구,마장역 [04271],55,5631.0,832.0,137,16931.0,4914.0,14.6
04273,성동구,숭신초등학교 [04273],23,4313.0,2118.0,152,17382.0,6030.0,5.2
04275,성동구,극동아파트 [04275],16,2425.0,856.0,62,8744.0,2536.0,17.2
04276,성동구,풍림아파트 [04276],11,2222.0,632.0,89,10561.0,2225.0,13.9
04278,성동구,대림아파트 [04278],17,2902.0,1253.0,50,7923.0,2453.0,12.4
04280,성동구,행당역 [04280],27,3087.0,609.0,119,12814.0,1995.0,6.8
04290,성동구,왕십리자이.신당현대아파트 [04290],25,3674.0,615.0,134,13989.0,1928.0,14.1
04295,성동구,황학교.텐즈힐몰 [04295],69,6786.0,2644.0,206,20518.0,5107.0,15.1
04301,성동구,왕십리광장 [04301],87,9286.0,3204.0,242,23362.0,5953.0,91.0
04302,성동구,왕십리역4번출구 [04302],94,9140.0,3006.0,245,23536.0,6027.0,111.9
04305,성동구,한양여대앞 [04305],17,4034.0,2199.0,81,11592.0,4192.0,12.4
04574,성동구,성동구청 [04574],95,9393.0,2739.0,244,24224.0,6096.0,13.4
